> predict by promoter regions
tr_cost	tr_accuracy	te_cost	te_accuracy
0.434315635267 0.874793559042 0.356161049324 0.873614190687
0.37866839609 0.883980181668 0.319526651324 0.883222468588
0.375279638299 0.880677126342 0.310644031027 0.883222468588
0.368708487281 0.887489677952 0.325902063341 0.880266075388
0.364789159018 0.88862510322 0.32316141665 0.877309682188
0.361174196196 0.888934764657 0.310968982001 0.891352549889
0.360429399446 0.889347646573 0.301971525572 0.887657058389
0.358486665582 0.888418662263 0.302516874881 0.885439763489
0.356447313449 0.891205615194 0.303790418646 0.892091648189
0.353250121085 0.89161849711 0.303771400376 0.887657058389
0.355108722675 0.892237819983 0.306738400904 0.884700665188
0.356575702744 0.893166804294 0.318672196766 0.886917960089
0.358413086765 0.884599504542 0.305079692827 0.881005173688
0.351948116302 0.891412056152 0.297067957328 0.889874353289
0.3498793742 0.893063583815 0.301144607625 0.890613451589
0.351137718127 0.892237819983 0.311421433478 0.891352549889
0.348677627792 0.893063583815 0.304806807371 0.889135254989
0.347909439089 0.891412056152 0.30107536189 0.885439763489
0.350278219332 0.891515276631 0.295052173562 0.886178861789
0.347124176094 0.892134599505 0.300879650023 0.889874353289

> predict by promter + random enhancers regions
0.439975527472 0.845272502064 0.363148557371 0.872135994087
0.381715083383 0.858587943848 0.322048814682 0.871396895787
0.380831731091 0.856523534269 0.307236270894 0.873614190687
0.369784882639 0.867052023121 0.297331987852 0.879526977088
0.378105735974 0.853426919901 0.31087667903 0.871396895787
0.396945183592 0.843827415359 0.311382478126 0.868440502587
0.363902795762 0.864574731627 0.300575966425 0.876570583888
0.364569572872 0.862200660611 0.293188983191 0.878048780488
0.361757228441 0.867258464079 0.294525388848 0.879526977088
0.364498166753 0.860239471511 0.309063012354 0.875831485588

> predict by promoter + updated enhancer
0.397320482669 0.861890999174 0.358459094247 0.861049519586
0.342491271594 0.878715937242 0.313163891416 0.877309682188
0.32749357456 0.886457473163 0.299637251757 0.886178861789
0.32229459065 0.885322047894 0.301804467204 0.878787878788
0.317021310139 0.888521882742 0.328491649297 0.867701404287
0.315501765342 0.889347646573 0.30592145627 0.881005173688
0.313405728466 0.891515276631 0.294869047628 0.881744271988
0.308708213355 0.890792733278 0.292499262651 0.882483370288
0.305358026875 0.894302229562 0.305019708558 0.878787878788
0.306468340648 0.893270024773 0.296135763472 0.881005173688
0.299643158147 0.897605284889 0.29887580522 0.876570583888
0.304392187106 0.897398843931 0.328247962743 0.876570583888
0.300714388442 0.897605284889 0.293584131909 0.883222468588
0.295762507887 0.901011560694 0.313320269362 0.874353288987
0.291364548801 0.903798513625 0.312023282402 0.875092387288
0.289981385425 0.904521056978 0.30616464553 0.878048780488
0.288892594571 0.905966143683 0.309797639537 0.881005173688
0.286721881329 0.906069364162 0.317131209388 0.879526977088
0.288050469305 0.907101568951 0.318131597555 0.878048780488
0.285430686174 0.908959537572 0.313850226307 0.875831485588

> predict by promoter + updated enhancer
0.246110817456 0.922687861272 0.321123187679 0.877309682188
0.238178549201 0.927023121387 0.339134019534 0.870657797487
0.242320125938 0.922997522709 0.319736541913 0.879526977088
0.233272375643 0.928984310487 0.340317884146 0.870657797487
0.230308672044 0.929190751445 0.393408480831 0.849963045085
0.232604197962 0.929500412882 0.329711034715 0.881744271988
0.228329973641 0.931358381503 0.368798396622 0.864745011086
0.236046369496 0.924958711808 0.339174452605 0.876570583888
0.224701021713 0.93063583815 0.359317921437 0.867701404287

