19	11987
96	9063
116	10404
161	2080
167	20387
173	11030
179	28785
256	19031
272	13759
317	3009
346	5465
367	32720
385	9604
410	4074
413	1213
446	15265
459	13614
460	4535
488	24001
545	22538
551	21976
556	4579
584	15140
608	21513
613	27791
621	21976
622	9613
627	8074
651	6457
661	26946
663	31992
668	4647
679	12202
702	11950
715	22601
716	16024
740	29599
753	324
763	10683
782	11389
783	16586
784	31569
788	27903
790	5789
797	30285
806	4497
856	13807
871	21229
885	25287
915	9247
942	9937
976	11188
1002	14567
1017	31707
1032	5495
1040	3160
1060	10760
1067	25787
1069	4363
1098	5985
1107	11049
1109	13686
1136	4363
1149	30671
1159	30630
1173	4793
1175	13051
1177	21058
1210	31087
1213	17973
1246	9316
1273	13437
1282	7995
1308	11085
1310	1822
1312	1454
1315	28311
1317	17415
1319	16163
1324	3991
1334	16376
1335	29064
1336	28228
1367	31299
1386	4973
1392	123
1395	21710
1399	4430
1434	5473
1445	12946
1458	14213
1485	6111
1488	26016
1520	397
1528	18004
1583	22587
1592	16760
1595	4074
1605	1399
1616	23397
1624	32013
1627	24691
1629	24047
1629	24046
1633	17082
1640	9291
1686	19457
1691	9603
1696	4145
1699	2180
1703	20910
1709	16217
1717	23148
1735	8778
1764	11435
1778	25796
1811	13473
1818	29693
1833	11446
1843	28253
1850	14933
1860	17314
1861	21830
1864	28707
1878	14572
1885	28036
1890	22330
1917	28595
1920	12111
1938	31271
1941	9394
1949	21944
1986	5257
1997	23655
2006	32179
2008	10137
2013	11264
2040	25390
2059	22431
2069	12803
2072	4605
2080	1407
2083	26012
2084	28691
2085	11061
2086	18550
2103	21273
2108	4357
2114	32279
2118	31288
2126	3116
2136	28279
2149	25390
2153	324
2161	27801
2171	5594
2173	29525
2174	14139
2194	21402
2195	23839
2201	20387
2211	26885
2215	17055
2224	18065
2270	12189
2272	2087
2297	17027
2306	25973
2318	19580
2341	13344
2344	3998
2353	1854
2381	32556
2390	32486
2413	18684
2426	7708
2438	19364
2459	12291
2477	16396
2483	25682
2485	25800
2485	25799
2490	13138
2492	18267
2496	856
2498	28290
2501	6211
2503	18457
2508	28809
2509	31534
2510	18010
2511	31089
2517	3272
2528	17864
2549	21903
2562	14630
2573	13354
2581	20439
2607	14586
2614	8015
2644	13538
2650	26348
2652	1327
2690	6926
2694	10911
2702	12170
2705	11674
2716	28762
2718	31438
2730	13398
2732	21273
2736	5790
2750	1422
2758	28437
2785	13344
2789	21144
2806	13459
2834	20385
2835	28723
2839	10668
2841	17085
2854	3420
2878	28353
2886	21308
2899	26969
2902	15283
2920	28373
2922	10521
2931	10635
2984	16813
3004	24133
3020	16844
3046	30109
3058	9041
3059	13528
3062	22081
3072	29104
3080	28291
3087	28332
3096	27760
3097	28311
3107	10137
3108	27714
3117	24030
3123	10948
3131	18002
3139	18518
3143	18167
3150	27721
3159	17467
3166	29697
3173	28762
3177	12058
3189	3880
3203	5523
3205	20554
3213	1519
3216	10802
3219	31561
3236	28013
3243	13294
3245	10635
3248	28428
3257	28132
3259	21421
3262	31322
3267	28609
3288	17142
3310	10615
3311	23563
3313	2369
3319	23331
3323	15891
3335	19047
3367	10785
3370	28064
3371	13666
3376	8594
3378	8635
3384	4548
3397	18813
3440	26254
3445	2817
3448	25844
3465	22587
3472	29243
3481	13408
3493	20488
3498	548
3514	11985
3524	3552
3551	16400
3555	28292
3572	16633
3577	27721
3581	3156
3596	30198
3599	11414
3600	20465
3611	9041
3620	31994
3626	18065
3631	32967
3640	20531
3643	31987
3649	21665
3667	22176
3678	18410
3693	8350
3723	29803
