7423	2268	48
7596	11476	48
8147	19462	49
8463	18549	1
6793	39190	50
2975	15898	3
2403	39733	49
5882	19217	50
6652	39232	50
6513	29146	2
219	8351	33
5446	9937	11
5246	36838	44
6341	11102	50
2660	37575	50
7210	29758	2
2779	25115	7
9460	23235	5
3689	37862	2
6006	38640	11
5256	13023	5
6483	7024	44
7510	21993	1
8898	32310	50
6146	30850	50
2269	15984	10
4370	38826	50
7687	1012	44
1374	38682	3
5046	8173	2
3296	13777	6
5049	14011	1
1172	29874	48
5086	17554	1
4108	30351	45
7223	17247	28
6804	19555	22
2606	33246	1
4076	24749	1
3681	39501	1
9010	39022	41
8810	31571	1
4435	21317	33
2656	25126	42
778	35573	2
9327	25927	1
960	11652	47
4705	20714	1
3023	33523	50
6755	31268	1
9452	38998	2
6696	1602	12
5816	20553	1
912	2054	7
2107	30369	28
3439	28120	49
2168	30279	48
9673	39496	49
5877	34914	1
3991	30851	50
4281	28623	2
319	18723	22
2956	36182	5
7825	13252	2
3225	36479	50
1189	108	50
2335	20101	1
744	5108	34
840	15934	41
7056	34011	1
5361	25283	1
5901	22301	4
8231	18154	26
6061	3733	17
3371	30252	19
2086	37043	18
9806	5029	11
9171	39677	32
9691	19385	24
6251	4483	1
7700	26333	3
5682	11024	20
7981	10834	21
31	31191	1
9314	1602	1
530	36885	1
8501	11314	12
4921	17975	7
355	11176	50
7	24422	1
5376	11357	2
5832	22763	16
4248	29712	3
6705	30367	48
3481	1586	17
4080	14528	24
4161	39721	50
773	12992	2
7486	29310	47
3331	38266	1
8636	22867	10
4995	14658	1
1890	24436	50
8853	16931	3
2704	14177	44
2376	28702	50
715	11297	1
9395	33590	1
2523	1631	19
2892	24777	48
5713	37553	1
9408	38330	48
3149	30454	2
7436	684	31
4127	15696	1
4465	1	50
2136	28842	2
4786	25840	21
5691	34410	11
7034	6174	1
4818	6451	3
9153	30313	19
1557	23377	50
4493	24724	48
5101	24255	2
7965	30587	8
4991	21931	46
5369	26411	1
6767	36281	48
4586	15442	47
5693	21644	48
1310	20709	1
4489	16997	30
3822	11426	4
435	18868	9
248	39114	41
6129	39688	50
5510	11741	1
77	5010	2
9301	8069	46
7721	1618	48
9567	8117	6
9126	25840	29
1911	27151	33
3307	19824	50
6721	16474	1
2338	12008	29
7640	17200	9
8323	21643	27
322	26305	50
796	30292	1
5031	11433	50
3260	17637	2
5274	37941	1
5551	23949	1
6532	39411	50
1288	20428	25
8761	13394	32
9622	28816	1
8107	27067	7
4047	33975	50
369	33435	1
5735	6455	1
1787	10720	50
6330	19476	1
7344	4708	49
1982	372	49
6938	39049	4
6008	33358	19
4229	2703	1
5164	3038	1
2611	25750	1
6263	9900	36
6161	6541	23
4715	1618	45
6004	33466	1
4674	35337	11
3543	31249	50
4836	34450	1
5842	37553	1
4469	25694	2
8891	15894	49
8904	18929	2
2765	10441	3
6259	3723	35
6936	28223	4
6821	383	32
9446	2872	8
5159	34511	8
6327	34282	13
1337	4479	37
7818	15699	4
5729	37807	47
1511	11332	2
7044	36474	9
8978	16198	13
4358	17560	45
6635	17935	2
6431	27221	3
4780	4035	9
572	32229	2
5615	19097	3
6179	512	1
2195	32877	50
6448	19617	5
7987	27597	1
6057	35243	1
8553	38330	48
8196	38983	17
3483	31598	7
7386	24599	23
8767	34444	2
7072	37040	30
9547	36020	6
200	13852	2
3410	23130	42
3105	26369	49
966	24334	49
7489	5877	1
8466	35609	10
2470	39722	49
8019	14299	7
4373	15370	47
9403	5029	10
8901	34492	1
6592	1463	16
7071	39713	46
6661	37641	20
9694	17973	1
6063	29790	1
9006	18139	1
985	30831	2
1235	31336	46
4157	10268	3
483	4503	50
5387	24226	49
6654	2871	1
8243	13179	3
9687	39779	3
5351	19710	47
7253	26378	29
9518	37486	11
1768	14566	1
6193	24592	1
4862	18337	1
9275	29665	1
2757	6731	50
3027	5124	49
2773	29757	1
7869	1184	1
8682	7634	1
1614	13557	50
5441	32765	2
413	18713	50
6834	36154	23
7525	35714	1
5255	5923	1
5412	1618	24
3592	671	2
5582	6216	28
5399	10833	32
6761	4754	34
3281	37774	50
6954	24860	28
8489	22759	47
9812	37261	3
9224	31395	49
179	36088	48
2624	5504	49
6322	39100	49
8964	1602	43
5371	5699	1
5799	8674	50
9257	34945	1
5123	31574	28
4760	20412	1
3821	12846	50
2566	31868	13
1843	37713	4
5936	38013	15
5125	31385	1
9215	36301	1
5992	17970	5
4052	354	1
5805	10142	27
8877	39529	50
822	19377	37
7751	1070	48
7247	12746	6
7209	37559	7
8390	15673	26
5604	13016	34
3480	14177	50
5896	25008	1
3560	38181	1
5621	22761	3
3791	32244	2
3042	2696	1
9315	19956	24
9431	9673	50
5533	35201	42
303	18121	35
5866	9915	6
5602	27400	47
2749	17561	1
2253	27659	49
4089	10928	3
8307	32060	1
5011	2835	6
6856	15521	2
4021	36642	9
518	31703	46
4305	13996	1
6884	10338	7
9184	19931	2
4392	38200	19
7864	29757	1
5280	18575	2
6148	1829	25
1718	19919	49
1092	36080	1
2136	28825	2
6911	11597	23
6538	3425	1
4731	12322	26
4626	39711	5
806	30609	2
4092	21241	49
5659	5827	3
6087	24981	46
1610	15536	2
3831	18856	31
4895	12762	6
8896	23500	1
6935	36911	49
6220	2269	2
5402	7760	17
793	16584	10
4426	4978	2
